date,hour,location,temperature,humidity,wind_speed,green_ratio,building_density,ndvi,uhi_intensity
2024-06-01,6,大学城,30.79,62.9,3.8,0.4,0.45,0.177,1.37
2024-06-01,6,滨水区域,28.59,73.6,1.4,0.6,0.2,0.415,-1.0
2024-06-01,7,市中心商业区,34.0,64.2,2.7,0.1,0.85,-0.038,4.02
2024-06-01,7,居民区A,32.48,65.0,3.0,0.35,0.6,0.228,1.63
2024-06-01,7,居民区B,34.49,56.4,2.4,0.25,0.65,0.118,2.08
2024-06-01,7,公园绿地,29.29,67.8,2.1,0.75,0.05,0.482,-0.75
2024-06-01,7,工业区,34.07,60.6,3.2,0.05,0.7,-0.051,3.24
2024-06-01,7,郊区对照点,31.29,63.6,2.1,0.55,0.15,0.362,0.0
2024-06-01,7,大学城,32.77,64.2,2.6,0.4,0.45,0.258,1.32
2024-06-01,7,滨水区域,30.22,66.7,2.3,0.6,0.2,0.413,-0.75
2024-06-01,8,市中心商业区,36.64,63.5,2.5,0.1,0.85,0.0,3.91
2024-06-01,8,居民区A,34.25,62.1,2.6,0.35,0.6,0.198,1.75
2024-06-01,8,居民区B,35.66,57.8,1.5,0.25,0.65,0.135,2.24
2024-06-01,8,公园绿地,31.49,67.7,2.5,0.75,0.05,0.473,-0.98
2024-06-01,8,工业区,34.45,65.2,2.4,0.05,0.7,-0.085,2.9
2024-06-01,8,郊区对照点,32.32,63.1,1.8,0.55,0.15,0.347,0.0
2024-06-01,8,大学城,33.69,61.7,2.1,0.4,0.45,0.227,1.07
2024-06-01,8,滨水区域,29.86,65.6,2.3,0.6,0.2,0.389,-0.56
2024-06-01,9,市中心商业区,37.71,57.9,2.5,0.1,0.85,-0.05,3.99
2024-06-01,9,居民区A,34.79,62.8,1.8,0.35,0.6,0.196,2.46
2024-06-01,9,居民区B,34.94,62.9,3.1,0.25,0.65,0.088,2.07
2024-06-01,9,公园绿地,32.04,65.5,1.9,0.75,0.05,0.501,-0.85
2024-06-01,9,工业区,37.19,61.9,4.2,0.05,0.7,-0.083,3.26
2024-06-01,9,郊区对照点,33.17,70.4,1.9,0.55,0.15,0.315,0.0
2024-06-01,9,大学城,34.05,56.4,2.1,0.4,0.45,0.197,1.55
2024-06-01,9,滨水区域,32.3,70.5,3.3,0.6,0.2,0.363,-1.27
2024-06-01,10,市中心商业区,38.21,53.8,4.0,0.1,0.85,0.015,3.86
2024-06-01,10,居民区A,34.45,66.3,2.4,0.35,0.6,0.217,1.52
2024-06-01,10,居民区B,35.34,61.2,2.5,0.25,0.65,0.086,2.19
2024-06-01,10,公园绿地,31.97,64.8,2.6,0.75,0.05,0.515,-0.79
2024-06-01,10,工业区,35.92,55.9,3.5,0.05,0.7,-0.05,2.78
2024-06-01,10,郊区对照点,35.06,61.9,3.4,0.55,0.15,0.342,0.0
2024-06-01,10,大学城,36.97,64.5,2.3,0.4,0.45,0.249,1.69
2024-06-01,10,滨水区域,33.92,60.0,3.0,0.6,0.2,0.412,-1.53
2024-06-01,11,市中心商业区,37.37,52.6,2.3,0.1,0.85,0.002,4.45
2024-06-01,11,居民区A,36.38,64.8,1.4,0.35,0.6,0.129,1.98
2024-06-01,11,居民区B,36.63,59.5,0.8,0.25,0.65,0.097,1.61
2024-06-01,11,公园绿地,33.86,64.1,1.7,0.75,0.05,0.485,-1.32
2024-06-01,11,工业区,37.27,61.7,1.7,0.05,0.7,-0.045,2.84
2024-06-01,11,郊区对照点,33.69,62.9,1.7,0.55,0.15,0.323,0.0
2024-06-01,11,大学城,34.86,67.7,2.5,0.4,0.45,0.199,1.56
2024-06-01,11,滨水区域,33.23,63.1,3.0,0.6,0.2,0.403,-1.16
2024-06-01,12,市中心商业区,38.03,57.1,0.7,0.1,0.85,-0.065,4.41
2024-06-01,12,居民区A,37.81,57.5,3.0,0.35,0.6,0.189,2.92
2024-06-01,12,居民区B,37.39,58.4,1.7,0.25,0.65,0.052,2.06
2024-06-01,12,公园绿地,32.89,59.9,2.0,0.75,0.05,0.468,-0.49
2024-06-01,12,工业区,38.2,57.7,3.7,0.05,0.7,-0.058,2.74
2024-06-01,12,郊区对照点,35.71,62.4,1.7,0.55,0.15,0.334,0.0
2024-06-01,12,大学城,35.29,57.1,3.2,0.4,0.45,0.277,1.08
2024-06-01,12,滨水区域,33.94,60.9,2.1,0.6,0.2,0.362,-1.26
2024-06-01,13,市中心商业区,38.36,55.1,2.7,0.1,0.85,-0.022,3.93
2024-06-01,13,居民区A,35.59,59.2,3.1,0.35,0.6,0.195,1.71
2024-06-01,13,居民区B,36.4,62.2,1.2,0.25,0.65,0.116,1.8
2024-06-01,13,公园绿地,33.78,60.8,1.1,0.75,0.05,0.451,-0.99
2024-06-01,13,工业区,37.53,55.9,3.0,0.05,0.7,-0.11,2.98
2024-06-01,13,郊区对照点,33.35,61.6,2.5,0.55,0.15,0.314,0.0
2024-06-01,13,大学城,35.51,64.0,2.0,0.4,0.45,0.245,1.16
2024-06-01,13,滨水区域,33.74,67.4,0.5,0.6,0.2,0.356,-0.83
2024-06-01,14,市中心商业区,37.66,59.5,2.0,0.1,0.85,-0.017,3.95
2024-06-01,14,居民区A,36.75,60.3,2.8,0.35,0.6,0.168,1.85
2024-06-01,14,居民区B,35.47,62.2,2.2,0.25,0.65,0.109,2.62
2024-06-01,14,公园绿地,33.52,62.4,3.5,0.75,0.05,0.488,-1.61
2024-06-01,14,工业区,36.01,54.8,2.2,0.05,0.7,-0.059,3.5
2024-06-01,14,郊区对照点,34.08,62.0,3.2,0.55,0.15,0.274,0.0
2024-06-01,14,大学城,35.51,63.3,1.3,0.4,0.45,0.254,1.6
2024-06-01,14,滨水区域,32.49,66.5,4.3,0.6,0.2,0.385,-0.93
2024-06-01,15,市中心商业区,36.66,57.1,3.2,0.1,0.85,-0.046,4.02
2024-06-01,15,居民区A,34.64,63.5,2.8,0.35,0.6,0.211,1.85
2024-06-01,15,居民区B,34.81,58.9,2.1,0.25,0.65,0.111,2.23
2024-06-01,15,公园绿地,31.29,68.7,3.6,0.75,0.05,0.512,-0.44
2024-06-01,15,工业区,35.41,57.4,1.1,0.05,0.7,-0.015,3.2
2024-06-01,15,郊区对照点,32.98,64.9,1.6,0.55,0.15,0.413,0.0
2024-06-01,15,大学城,34.63,62.4,3.1,0.4,0.45,0.234,1.57
2024-06-01,15,滨水区域,31.39,67.3,4.0,0.6,0.2,0.42,-0.52
2024-06-01,16,市中心商业区,35.58,57.9,2.4,0.1,0.85,-0.018,4.33
2024-06-01,16,居民区A,32.64,69.0,2.4,0.35,0.6,0.167,1.7
2024-06-01,16,居民区B,32.67,66.9,2.6,0.25,0.65,0.061,1.61
2024-06-01,16,公园绿地,30.72,71.7,2.3,0.75,0.05,0.455,-1.07
2024-06-01,16,工业区,34.77,53.8,2.5,0.05,0.7,-0.067,3.21
2024-06-01,16,郊区对照点,33.47,66.8,2.3,0.55,0.15,0.307,0.0
2024-06-01,16,大学城,35.55,61.1,2.5,0.4,0.45,0.219,1.56
2024-06-01,16,滨水区域,30.87,64.8,2.1,0.6,0.2,0.379,-1.16
2024-06-01,17,市中心商业区,34.21,62.9,2.3,0.1,0.85,0.025,3.2
2024-06-01,17,居民区A,33.66,66.9,0.8,0.35,0.6,0.17,1.89
2024-06-01,17,居民区B,31.66,63.3,1.6,0.25,0.65,0.153,2.28
2024-06-01,17,公园绿地,30.8,68.8,1.6,0.75,0.05,0.484,-0.85
2024-06-01,17,工业区,32.81,66.4,2.3,0.05,0.7,-0.071,3.21
2024-06-01,17,郊区对照点,31.14,65.1,3.4,0.55,0.15,0.308,0.0
2024-06-01,17,大学城,32.78,66.0,2.3,0.4,0.45,0.23,1.12
2024-06-01,17,滨水区域,30.52,66.4,2.1,0.6,0.2,0.411,-1.21
2024-06-01,18,市中心商业区,32.36,60.1,3.0,0.1,0.85,-0.058,4.53
2024-06-01,18,居民区A,29.82,72.9,2.7,0.35,0.6,0.177,1.84
2024-06-01,18,居民区B,31.81,65.3,3.4,0.25,0.65,0.103,2.05
2024-06-01,18,公园绿地,28.2,69.6,2.7,0.75,0.05,0.449,-1.4
2024-06-01,18,工业区,33.08,64.4,2.4,0.05,0.7,-0.059,3.1
2024-06-01,18,郊区对照点,29.06,66.4,2.7,0.55,0.15,0.311,0.0
2024-06-01,18,大学城,31.32,60.9,3.3,0.4,0.45,0.234,1.58
2024-06-01,18,滨水区域,29.28,73.5,3.3,0.6,0.2,0.325,-1.38
2024-06-01,19,市中心商业区,31.7,65.6,2.9,0.1,0.85,-0.042,4.06
2024-06-01,19,居民区A,29.59,66.3,1.4,0.35,0.6,0.152,1.59
2024-06-01,19,居民区B,29.42,71.5,1.7,0.25,0.65,0.179,2.15
2024-06-01,19,公园绿地,27.34,68.2,3.1,0.75,0.05,0.483,-0.96
2024-06-01,19,工业区,33.24,63.4,3.4,0.05,0.7,-0.081,2.99
2024-06-01,19,郊区对照点,29.61,66.2,3.9,0.55,0.15,0.361,0.0
2024-06-01,19,大学城,29.25,70.4,3.3,0.4,0.45,0.239,1.03
2024-06-01,19,滨水区域,26.61,70.9,2.4,0.6,0.2,0.399,-0.95
2024-06-01,20,市中心商业区,29.92,68.8,3.0,0.1,0.85,-0.003,4.32
2024-06-01,20,居民区A,29.66,69.4,2.4,0.35,0.6,0.13,2.13
2024-06-01,20,居民区B,29.16,69.4,1.5,0.25,0.65,0.068,2.32
2024-06-01,20,公园绿地,25.96,74.5,2.5,0.75,0.05,0.501,-0.72
2024-06-01,20,工业区,29.58,68.4,2.1,0.05,0.7,-0.073,2.91
2024-06-01,20,郊区对照点,27.17,69.6,3.5,0.55,0.15,0.313,0.0
2024-06-01,20,大学城,28.34,68.3,3.7,0.4,0.45,0.226,1.81
2024-06-01,20,滨水区域,24.8,74.6,3.2,0.6,0.2,0.382,-0.68
2024-06-01,21,市中心商业区,29.54,72.4,4.3,0.1,0.85,-0.031,3.87
2024-06-01,21,居民区A,29.12,73.4,2.1,0.35,0.6,0.167,1.92
2024-06-01,21,居民区B,26.88,68.6,1.7,0.25,0.65,0.077,1.99
2024-06-01,21,公园绿地,25.14,78.1,1.7,0.75,0.05,0.53,-1.06
2024-06-01,21,工业区,28.92,70.9,1.6,0.05,0.7,-0.049,3.05
2024-06-01,21,郊区对照点,26.35,72.8,4.5,0.55,0.15,0.321,0.0
2024-06-01,21,大学城,27.03,69.3,2.1,0.4,0.45,0.201,1.86
2024-06-01,21,滨水区域,26.09,70.6,1.8,0.6,0.2,0.394,-1.17
2024-06-01,22,市中心商业区,29.67,68.6,1.3,0.1,0.85,0.026,4.54
2024-06-01,22,居民区A,26.67,70.4,2.7,0.35,0.6,0.19,2.2
2024-06-01,22,居民区B,28.77,68.5,1.9,0.25,0.65,0.059,1.78
2024-06-01,22,公园绿地,24.13,80.0,2.1,0.75,0.05,0.507,-1.0
2024-06-01,22,工业区,29.11,76.2,2.1,0.05,0.7,-0.075,3.31
2024-06-01,22,郊区对照点,25.71,78.3,3.0,0.55,0.15,0.329,0.0
2024-06-01,22,大学城,27.13,74.4,3.2,0.4,0.45,0.235,1.82
2024-06-01,22,滨水区域,25.1,77.6,3.0,0.6,0.2,0.375,-0.96
2024-06-01,23,市中心商业区,29.63,65.6,2.8,0.1,0.85,-0.032,4.01
2024-06-01,23,居民区A,27.68,71.0,2.5,0.35,0.6,0.139,2.22
2024-06-01,23,居民区B,27.18,77.5,2.3,0.25,0.65,0.107,2.07
2024-06-01,23,公园绿地,24.92,73.4,2.7,0.75,0.05,0.518,-0.94
2024-06-01,23,工业区,27.3,71.4,3.4,0.05,0.7,-0.091,3.04
2024-06-01,23,郊区对照点,24.1,78.3,1.3,0.55,0.15,0.323,0.0
2024-06-01,23,大学城,26.46,76.5,2.4,0.4,0.45,0.203,2.06
2024-06-01,23,滨水区域,22.5,70.0,2.9,0.6,0.2,0.365,-1.31
2024-06-02,0,市中心商业区,29.32,66.7,1.5,0.1,0.85,0.006,4.2
2024-06-02,0,居民区A,27.05,76.7,1.6,0.35,0.6,0.134,1.79
2024-06-02,0,居民区B,27.09,71.8,2.3,0.25,0.65,0.111,1.62
2024-06-02,0,公园绿地,25.28,73.0,3.4,0.75,0.05,0.51,-0.86
2024-06-02,0,工业区,28.58,70.6,3.0,0.05,0.7,-0.02,3.06
2024-06-02,0,郊区对照点,25.69,72.5,3.7,0.55,0.15,0.32,0.0
2024-06-02,0,大学城,28.07,69.8,1.4,0.4,0.45,0.224,1.3
2024-06-02,0,滨水区域,24.8,71.9,2.1,0.6,0.2,0.323,-1.14
2024-06-02,1,市中心商业区,27.36,66.0,3.1,0.1,0.85,0.004,4.13
2024-06-02,1,居民区A,26.52,71.6,2.5,0.35,0.6,0.145,2.45
2024-06-02,1,居民区B,28.0,69.3,2.5,0.25,0.65,0.106,1.39
2024-06-02,1,公园绿地,24.1,72.6,1.7,0.75,0.05,0.492,-0.46
2024-06-02,1,工业区,28.81,67.3,3.0,0.05,0.7,-0.018,3.28
2024-06-02,1,郊区对照点,25.34,71.2,3.1,0.55,0.15,0.352,0.0
2024-06-02,1,大学城,27.51,72.5,3.3,0.4,0.45,0.204,1.9
2024-06-02,1,滨水区域,24.45,80.5,1.9,0.6,0.2,0.432,-0.94
2024-06-02,2,市中心商业区,29.27,67.0,2.2,0.1,0.85,-0.007,4.16
2024-06-02,2,居民区A,27.34,70.7,4.2,0.35,0.6,0.232,2.13
2024-06-02,2,居民区B,27.83,70.6,3.0,0.25,0.65,0.069,1.92
2024-06-02,2,公园绿地,23.46,76.6,3.0,0.75,0.05,0.486,-0.53
2024-06-02,2,工业区,27.81,65.8,2.7,0.05,0.7,-0.029,3.51
2024-06-02,2,郊区对照点,25.43,76.3,2.5,0.55,0.15,0.335,0.0
2024-06-02,2,大学城,28.0,72.0,1.2,0.4,0.45,0.264,1.91
2024-06-02,2,滨水区域,24.29,75.6,2.9,0.6,0.2,0.388,-1.17
2024-06-02,3,市中心商业区,30.05,67.5,3.4,0.1,0.85,-0.004,3.89
2024-06-02,3,居民区A,29.21,60.0,3.4,0.35,0.6,0.128,1.89
2024-06-02,3,居民区B,27.69,66.5,3.4,0.25,0.65,0.086,2.1
2024-06-02,3,公园绿地,25.55,74.4,2.6,0.75,0.05,0.462,-0.7
2024-06-02,3,工业区,29.19,63.9,2.2,0.05,0.7,-0.015,3.26
2024-06-02,3,郊区对照点,26.31,71.0,2.2,0.55,0.15,0.402,0.0
2024-06-02,3,大学城,28.4,70.8,3.3,0.4,0.45,0.227,1.42
2024-06-02,3,滨水区域,25.43,72.9,2.5,0.6,0.2,0.402,-0.98
2024-06-02,4,市中心商业区,32.21,64.7,2.6,0.1,0.85,-0.08,4.27
2024-06-02,4,居民区A,29.9,70.7,0.2,0.35,0.6,0.243,1.96
2024-06-02,4,居民区B,30.51,63.9,3.0,0.25,0.65,0.068,1.81
2024-06-02,4,公园绿地,28.16,69.2,2.7,0.75,0.05,0.526,-0.85
2024-06-02,4,工业区,30.75,67.8,4.4,0.05,0.7,-0.062,3.06
2024-06-02,4,郊区对照点,28.47,72.8,3.4,0.55,0.15,0.359,0.0
2024-06-02,4,大学城,28.21,74.6,1.6,0.4,0.45,0.229,1.27
2024-06-02,4,滨水区域,26.57,72.7,2.8,0.6,0.2,0.393,-0.52
2024-06-02,5,市中心商业区,33.19,63.0,3.3,0.1,0.85,0.016,3.63
2024-06-02,5,居民区A,31.31,68.1,2.3,0.35,0.6,0.221,1.95
2024-06-02,5,居民区B,30.93,66.0,2.5,0.25,0.65,0.067,1.57
2024-06-02,5,公园绿地,29.11,66.1,1.7,0.75,0.05,0.435,-1.19
2024-06-02,5,工业区,30.77,71.6,3.3,0.05,0.7,-0.081,3.68
2024-06-02,5,郊区对照点,29.62,67.1,0.5,0.55,0.15,0.409,0.0
2024-06-02,5,大学城,29.22,63.6,3.3,0.4,0.45,0.293,1.92
2024-06-02,5,滨水区域,28.28,71.4,3.2,0.6,0.2,0.403,-0.92
2024-06-02,6,市中心商业区,34.21,62.4,1.9,0.1,0.85,-0.028,3.49
2024-06-02,6,居民区A,32.05,62.2,1.6,0.35,0.6,0.185,2.42
2024-06-02,6,居民区B,32.86,59.5,1.7,0.25,0.65,0.128,1.71
2024-06-02,6,公园绿地,28.95,70.5,1.7,0.75,0.05,0.503,-1.4
2024-06-02,6,工业区,32.64,65.4,1.2,0.05,0.7,-0.047,2.99
2024-06-02,6,郊区对照点,30.57,67.6,3.6,0.55,0.15,0.344,0.0
2024-06-02,6,大学城,31.28,66.4,2.9,0.4,0.45,0.221,1.51
2024-06-02,6,滨水区域,28.56,67.3,1.4,0.6,0.2,0.432,-1.37
2024-06-02,7,市中心商业区,34.86,59.6,3.2,0.1,0.85,-0.029,4.37
2024-06-02,7,居民区A,32.88,65.0,1.8,0.35,0.6,0.244,1.64
2024-06-02,7,居民区B,33.67,65.1,2.8,0.25,0.65,0.094,1.96
2024-06-02,7,公园绿地,30.45,66.6,3.3,0.75,0.05,0.566,-1.17
2024-06-02,7,工业区,33.32,63.3,4.6,0.05,0.7,-0.084,3.49
2024-06-02,7,郊区对照点,32.76,62.6,3.0,0.55,0.15,0.389,0.0
2024-06-02,7,大学城,32.62,63.9,2.0,0.4,0.45,0.19,1.31
2024-06-02,7,滨水区域,29.44,68.4,1.9,0.6,0.2,0.387,-1.47
2024-06-02,8,市中心商业区,36.89,61.8,0.9,0.1,0.85,-0.009,4.37
2024-06-02,8,居民区A,33.66,68.2,2.8,0.35,0.6,0.159,1.98
2024-06-02,8,居民区B,35.07,61.7,2.9,0.25,0.65,0.072,2.05
2024-06-02,8,公园绿地,30.49,66.7,1.8,0.75,0.05,0.478,-0.63
2024-06-02,8,工业区,36.5,61.6,1.6,0.05,0.7,-0.069,3.36
2024-06-02,8,郊区对照点,32.74,71.3,2.8,0.55,0.15,0.346,0.0
2024-06-02,8,大学城,33.88,63.3,2.4,0.4,0.45,0.241,1.79
2024-06-02,8,滨水区域,31.0,62.4,1.0,0.6,0.2,0.395,-1.33
2024-06-02,9,市中心商业区,35.94,61.6,4.5,0.1,0.85,-0.02,4.25
2024-06-02,9,居民区A,35.73,60.4,3.2,0.35,0.6,0.171,2.08
2024-06-02,9,居民区B,35.92,58.5,3.3,0.25,0.65,0.095,1.77
2024-06-02,9,公园绿地,33.09,61.2,2.5,0.75,0.05,0.5,-0.67
2024-06-02,9,工业区,37.04,59.1,3.2,0.05,0.7,-0.018,3.17
2024-06-02,9,郊区对照点,33.67,59.3,1.6,0.55,0.15,0.331,0.0
2024-06-02,9,大学城,34.67,61.4,2.5,0.4,0.45,0.236,1.48
2024-06-02,9,滨水区域,33.05,64.1,0.9,0.6,0.2,0.352,-1.04
2024-06-02,10,市中心商业区,37.49,60.4,3.7,0.1,0.85,0.017,3.94
2024-06-02,10,居民区A,37.65,58.9,2.2,0.35,0.6,0.162,1.91
2024-06-02,10,居民区B,36.14,60.7,2.6,0.25,0.65,0.1,2.13
2024-06-02,10,公园绿地,34.41,65.2,1.3,0.75,0.05,0.423,-0.72
2024-06-02,10,工业区,36.36,59.3,1.6,0.05,0.7,-0.114,3.16
2024-06-02,10,郊区对照点,35.06,59.8,0.4,0.55,0.15,0.324,0.0
2024-06-02,10,大学城,36.27,55.6,2.6,0.4,0.45,0.22,1.67
2024-06-02,10,滨水区域,33.55,60.4,3.5,0.6,0.2,0.375,-1.01
2024-06-02,11,市中心商业区,38.21,56.4,1.8,0.1,0.85,-0.025,4.51
2024-06-02,11,居民区A,35.86,55.7,3.7,0.35,0.6,0.174,1.8
2024-06-02,11,居民区B,37.79,56.4,4.0,0.25,0.65,0.12,1.85
2024-06-02,11,公园绿地,35.68,59.0,3.1,0.75,0.05,0.509,-0.61
2024-06-02,11,工业区,39.2,56.7,1.9,0.05,0.7,-0.046,2.8
2024-06-02,11,郊区对照点,36.57,60.1,2.2,0.55,0.15,0.346,0.0
2024-06-02,11,大学城,35.38,58.2,3.5,0.4,0.45,0.2,1.19
2024-06-02,11,滨水区域,34.38,65.9,3.1,0.6,0.2,0.41,-1.23
2024-06-02,12,市中心商业区,37.99,62.5,2.2,0.1,0.85,-0.028,4.4
2024-06-02,12,居民区A,37.57,59.9,4.2,0.35,0.6,0.161,2.28
2024-06-02,12,居民区B,37.17,59.8,3.7,0.25,0.65,0.115,2.16
2024-06-02,12,公园绿地,34.98,60.5,1.8,0.75,0.05,0.469,-1.59
2024-06-02,12,工业区,39.77,52.6,2.3,0.05,0.7,-0.068,3.09
2024-06-02,12,郊区对照点,35.78,63.2,2.0,0.55,0.15,0.335,0.0
2024-06-02,12,大学城,36.85,58.6,3.8,0.4,0.45,0.235,1.72
2024-06-02,12,滨水区域,34.66,65.5,2.6,0.6,0.2,0.341,-0.88
2024-06-02,13,市中心商业区,38.43,55.9,3.0,0.1,0.85,0.017,4.01
2024-06-02,13,居民区A,37.2,64.1,2.7,0.35,0.6,0.258,2.17
2024-06-02,13,居民区B,35.55,63.2,2.8,0.25,0.65,0.139,2.2
2024-06-02,13,公园绿地,33.84,59.3,2.3,0.75,0.05,0.474,-1.17
2024-06-02,13,工业区,38.43,62.5,2.8,0.05,0.7,-0.096,3.13
2024-06-02,13,郊区对照点,35.91,58.7,2.4,0.55,0.15,0.34,0.0
2024-06-02,13,大学城,35.83,62.6,2.4,0.4,0.45,0.233,1.23
2024-06-02,13,滨水区域,33.6,65.4,2.2,0.6,0.2,0.432,-1.12
2024-06-02,14,市中心商业区,38.63,60.0,1.4,0.1,0.85,-0.073,3.54
2024-06-02,14,居民区A,37.47,57.0,4.5,0.35,0.6,0.163,2.06
2024-06-02,14,居民区B,37.69,64.4,4.1,0.25,0.65,0.136,2.31
2024-06-02,14,公园绿地,33.93,65.2,2.1,0.75,0.05,0.475,-1.0
2024-06-02,14,工业区,37.32,57.5,3.1,0.05,0.7,-0.031,3.03
2024-06-02,14,郊区对照点,35.64,57.4,2.3,0.55,0.15,0.318,0.0
2024-06-02,14,大学城,34.46,62.0,2.4,0.4,0.45,0.265,1.69
2024-06-02,14,滨水区域,32.64,70.0,3.5,0.6,0.2,0.397,-1.07
2024-06-02,15,市中心商业区,36.89,58.2,3.4,0.1,0.85,0.037,4.46
2024-06-02,15,居民区A,35.27,57.9,2.6,0.35,0.6,0.127,2.1
2024-06-02,15,居民区B,35.54,59.6,1.2,0.25,0.65,0.115,1.84
2024-06-02,15,公园绿地,31.72,56.9,2.5,0.75,0.05,0.553,-0.5
2024-06-02,15,工业区,36.29,58.2,2.9,0.05,0.7,-0.09,3.09
2024-06-02,15,郊区对照点,34.27,66.2,2.4,0.55,0.15,0.334,0.0
2024-06-02,15,大学城,34.46,59.8,2.3,0.4,0.45,0.231,1.77
2024-06-02,15,滨水区域,32.02,69.7,2.3,0.6,0.2,0.379,-1.22
2024-06-02,16,市中心商业区,34.69,64.6,3.1,0.1,0.85,-0.028,4.02
2024-06-02,16,居民区A,35.04,56.9,2.1,0.35,0.6,0.204,1.62
2024-06-02,16,居民区B,34.86,57.7,2.9,0.25,0.65,0.099,1.52
